code	description	type
G472	Disorders of the sleep-wake schedule	icd10
G473	Sleep apnoea	icd10
G474	Narcolepsy and cataplexy	icd10
G478	Other sleep disorders	icd10
G479	Sleep disorder, unspecified	icd10
G50	Disorders of trigeminal nerve	icd10
G500	Trigeminal neuralgia	icd10
G501	Atypical facial pain	icd10
G508	Other disorders of trigeminal nerve	icd10
G509	Disorder of trigeminal nerve, unspecified	icd10
G51	Facial nerve disorders	icd10
G510	Bell palsy	icd10
G511	Geniculate ganglionitis	icd10
G512	Melkersson syndrome	icd10
G513	Clonic hemifacial spasm	icd10
G514	Facial myokymia	icd10
G518	Other disorders of facial nerve	icd10
G519	Disorder of facial nerve, unspecified	icd10
G52	Disorders of other cranial nerves	icd10
G520	Disorders of olfactory nerve	icd10
G521	Disorders of glossopharyngeal nerve	icd10
G522	Disorders of vagus nerve	icd10
G523	Disorders of hypoglossal nerve	icd10
G527	Disorders of multiple cranial nerves	icd10
G528	Disorders of other specified cranial nerves	icd10
G529	Cranial nerve disorder, unspecified	icd10
G53	Cranial nerve disorders in diseases classified elsewhere	icd10
G530	Postzoster neuralgia	icd10
G531	Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere	icd10
G532	Multiple cranial nerve palsies in sarcoidosis	icd10
G533	Multiple cranial nerve palsies in neoplastic disease	icd10
G538	Other cranial nerve disorders in other diseases classified elsewhere	icd10
G54	Nerve root and plexus disorders	icd10
G540	Brachial plexus disorders	icd10
G541	Lumbosacral plexus disorders	icd10
G542	Cervical root disorders, not elsewhere classified	icd10
G543	Thoracic root disorders, not elsewhere classified	icd10
G544	Lumbosacral root disorders, not elsewhere classified	icd10
G545	Neuralgic amyotrophy	icd10
G546	Phantom limb syndrome with pain	icd10
G547	Phantom limb syndrome without pain	icd10
G548	Other nerve root and plexus disorders	icd10
G549	Nerve root and plexus disorder, unspecified	icd10
G55	Nerve root and plexus compressions in diseases classified elsewhere	icd10
G550	Nerve root and plexus compressions in neoplastic disease	icd10
G551	Nerve root and plexus compressions in intervertebral disc disorders	icd10
G552	Nerve root and plexus compressions in spondylosis	icd10
G553	Nerve root and plexus compressions in other dorsopathies	icd10
G558	Nerve root and plexus compressions in other diseases classified elsewhere	icd10
G56	Mononeuropathies of upper limb	icd10
G560	Carpal tunnel syndrome	icd10
G561	Other lesions of median nerve	icd10
G562	Lesion of ulnar nerve	icd10
G563	Lesion of radial nerve	icd10
G568	Other mononeuropathies of upper limb	icd10
G569	Mononeuropathy of upper limb, unspecified	icd10
G57	Mononeuropathies of lower limb	icd10
G570	Lesion of sciatic nerve	icd10
G571	Meralgia paraesthetica	icd10
G572	Lesion of femoral nerve	icd10
G573	Lesion of lateral popliteal nerve	icd10
G574	Lesion of medial popliteal nerve	icd10
G575	Tarsal tunnel syndrome	icd10
G576	Lesion of plantar nerve	icd10
G578	Other mononeuropathies of lower limb	icd10
G579	Mononeuropathy of lower limb, unspecified	icd10
G58	Other mononeuropathies	icd10
G580	Intercostal neuropathy	icd10
G587	Mononeuritis multiplex	icd10
G588	Other specified mononeuropathies	icd10
G589	Mononeuropathy, unspecified	icd10
G59	Mononeuropathy in diseases classified elsewhere	icd10
G590	Diabetic mononeuropathy	icd10
G598	Other mononeuropathies in diseases classified elsewhere	icd10
G60	Hereditary and idiopathic neuropathy	icd10
G600	Hereditary motor and sensory neuropathy	icd10
G601	Refsum disease	icd10
G602	Neuropathy in association with hereditary ataxia	icd10
G603	Idiopathic progressive neuropathy	icd10
G608	Other hereditary and idiopathic neuropathies	icd10
G609	Hereditary and idiopathic neuropathy, unspecified	icd10
G61	Inflammatory polyneuropathy	icd10
G610	Guillain-Barré syndrome	icd10
G611	Serum neuropathy	icd10
G618	Other inflammatory polyneuropathies	icd10
G619	Inflammatory polyneuropathy, unspecified	icd10
G62	Other polyneuropathies	icd10
G620	Drug-induced polyneuropathy	icd10
G621	Alcoholic polyneuropathy	icd10
G622	Polyneuropathy due to other toxic agents	icd10
G628	Other specified polyneuropathies	icd10
G629	Polyneuropathy, unspecified	icd10
G63	Polyneuropathy in diseases classified elsewhere	icd10
G630	Polyneuropathy in infectious and parasitic diseases classified elsewhere	icd10
G631	Polyneuropathy in neoplastic disease	icd10
G632	Diabetic polyneuropathy	icd10
G633	Polyneuropathy in other endocrine and metabolic diseases	icd10
G634	Polyneuropathy in nutritional deficiency	icd10
G635	Polyneuropathy in systemic connective tissue disorders	icd10
G636	Polyneuropathy in other musculoskeletal disorders	icd10
G638	Polyneuropathy in other diseases classified elsewhere	icd10
G64	Other disorders of peripheral nervous system	icd10
G70	Myasthenia gravis and other myoneural disorders	icd10
G700	Myasthenia gravis	icd10
G701	Toxic myoneural disorders	icd10
G702	Congenital and developmental myasthenia	icd10
G708	Other specified myoneural disorders	icd10
G709	Myoneural disorder, unspecified	icd10
G71	Primary disorders of muscles	icd10
G710	Muscular dystrophy	icd10
G711	Myotonic disorders	icd10
G712	Congenital myopathies	icd10
G713	Mitochondrial myopathy, not elsewhere classified	icd10
G718	Other primary disorders of muscles	icd10
G719	Primary disorder of muscle, unspecified	icd10
G72	Other myopathies	icd10
G720	Drug-induced myopathy	icd10
G721	Alcoholic myopathy	icd10
G722	Myopathy due to other toxic agents	icd10
G723	Periodic paralysis	icd10
G724	Inflammatory myopathy, not elsewhere classified	icd10
G728	Other specified myopathies	icd10
G729	Myopathy, unspecified	icd10
G73	Disorders of myoneural junction and muscle in diseases classified elsewhere	icd10
G730	Myasthenic syndromes in endocrine diseases	icd10
G731	Lambert-Eaton syndrome	icd10
G732	Other myasthenic syndromes in neoplastic disease	icd10
G733	Myasthenic syndromes in other diseases classified elsewhere	icd10
G734	Myopathy in infectious and parasitic diseases classified elsewhere	icd10
G735	Myopathy in endocrine diseases	icd10
G736	Myopathy in metabolic diseases	icd10
G737	Myopathy in other diseases classified elsewhere	icd10
G80	Cerebral palsy	icd10
G800	Spastic quadriplegic cerebral palsy	icd10
G801	Spastic diplegic cerebral palsy	icd10
G802	Spastic hemiplegic cerebral palsy	icd10
G803	Dyskinetic cerebral palsy	icd10
G804	Ataxic cerebral palsy	icd10
G808	Other cerebral palsy	icd10
G809	Cerebral palsy, unspecified	icd10
G81	Hemiplegia	icd10
G810	Flaccid hemiplegia	icd10
G811	Spastic hemiplegia	icd10
G819	Hemiplegia, unspecified	icd10
G82	Paraplegia and tetraplegia	icd10
G820	Flaccid paraplegia	icd10
G821	Spastic paraplegia	icd10
G822	Paraplegia, unspecified	icd10
G823	Flaccid tetraplegia	icd10
G824	Spastic tetraplegia	icd10
G825	Tetraplegia, unspecified	icd10
G83	Other paralytic syndromes	icd10
G830	Diplegia of upper limbs	icd10
G831	Monoplegia of lower limb	icd10
G832	Monoplegia of upper limb	icd10
G833	Monoplegia, unspecified	icd10
G834	Cauda equina syndrome	icd10
G835	Locked-in syndrome	icd10
G836	Upper motor neuron facial paralysis	icd10
G838	Other specified paralytic syndromes	icd10
G839	Paralytic syndrome, unspecified	icd10
G90	Disorders of autonomic nervous system	icd10
G900	Idiopathic peripheral autonomic neuropathy	icd10
G901	Familial dysautonomia [Riley-Day]	icd10
G902	Horner syndrome	icd10
G904	Autonomic dysreflexia	icd10
G905	Complex regional pain syndrome type I	icd10
G906	Complex regional pain syndrome type II	icd10
G907	Complex regional pain syndrome, other and unspecified type	icd10
G908	Other disorders of autonomic nervous system	icd10
G909	Disorder of autonomic nervous system, unspecified	icd10
G91	Hydrocephalus	icd10
G910	Communicating hydrocephalus	icd10
G911	Obstructive hydrocephalus	icd10
G912	Normal-pressure hydrocephalus	icd10
G913	Post-traumatic hydrocephalus, unspecified	icd10
G918	Other hydrocephalus	icd10
G919	Hydrocephalus, unspecified	icd10
G92	Toxic encephalopathy	icd10
G93	Other disorders of brain	icd10
G930	Cerebral cysts	icd10
G931	Anoxic brain damage, not elsewhere classified	icd10
G932	Benign intracranial hypertension	icd10
G933	Postviral fatigue syndrome	icd10
G934	Encephalopathy, unspecified	icd10
G935	Compression of brain	icd10
G936	Cerebral oedema	icd10
G937	Reye syndrome	icd10
G938	Other specified disorders of brain	icd10
G939	Disorder of brain, unspecified	icd10
G94	Other disorders of brain in diseases classified elsewhere	icd10
G940	Hydrocephalus in infectious and parasitic diseases classified elsewhere	icd10
G941	Hydrocephalus in neoplastic disease	icd10
G942	Hydrocephalus in other diseases classified elsewhere	icd10
G943	Encephalopathy in diseases classified elsewhere	icd10
G948	Other specified disorders of brain in diseases classified elsewhere	icd10
G95	Other diseases of spinal cord	icd10
G950	Syringomyelia and syringobulbia	icd10
G951	Vascular myelopathies	icd10
G952	Cord compression, unspecified	icd10
G958	Other specified diseases of spinal cord	icd10
G959	Disease of spinal cord, unspecified	icd10
G96	Other disorders of central nervous system	icd10
G960	Cerebrospinal fluid leak	icd10
G961	Disorders of meninges, not elsewhere classified	icd10
G968	Other specified disorders of central nervous system	icd10
G969	Disorder of central nervous system, unspecified	icd10
G97	Postprocedural disorders of nervous system, not elsewhere classified	icd10
G970	Cerebrospinal fluid leak from spinal puncture	icd10
G971	Other reaction to spinal and lumbar puncture	icd10
G972	Intracranial hypotension following ventricular shunting	icd10
G978	Other postprocedural disorders of nervous system	icd10
G979	Postprocedural disorder of nervous system, unspecified	icd10
G98	Other disorders of nervous system, not elsewhere classified	icd10
G99	Other disorders of nervous system in diseases classified elsewhere	icd10
G990	Autonomic neuropathy in endocrine and metabolic diseases	icd10
G991	Other disorders of autonomic nervous system in other diseases classified elsewhere	icd10
G992	Myelopathy in diseases classified elsewhere	icd10
G998	Other specified disorders of nervous system in diseases classified elsewhere	icd10
H00	Hordeolum and chalazion	icd10
H000	Hordeolum and other deep inflammation of eyelid	icd10
H001	Chalazion	icd10
H01	Other inflammation of eyelid	icd10
H010	Blepharitis	icd10
H011	Noninfectious dermatoses of eyelid	icd10
H018	Other specified inflammation of eyelid	icd10
H019	Inflammation of eyelid, unspecified	icd10
H02	Other disorders of eyelid	icd10
H020	Entropion and trichiasis of eyelid	icd10
H021	Ectropion of eyelid	icd10
H022	Lagophthalmos	icd10
H023	Blepharochalasis	icd10
H024	Ptosis of eyelid	icd10
H025	Other disorders affecting eyelid function	icd10
H026	Xanthelasma of eyelid	icd10
H027	Other degenerative disorders of eyelid and periocular area	icd10
H028	Other specified disorders of eyelid	icd10
H029	Disorder of eyelid, unspecified	icd10
H03	Disorders of eyelid in diseases classified elsewhere	icd10
H030	Parasitic infestation of eyelid in diseases classified elsewhere	icd10
H031	Involvement of eyelid in other infectious diseases classified elsewhere	icd10
H038	Involvement of eyelid in other diseases classified elsewhere	icd10
H04	Disorders of lacrimal system	icd10
H040	Dacryoadenitis	icd10
H041	Other disorders of lacrimal gland	icd10
H042	Epiphora	icd10
H043	Acute and unspecified inflammation of lacrimal passages	icd10
H044	Chronic inflammation of lacrimal passages	icd10
H045	Stenosis and insufficiency of lacrimal passages	icd10
H046	Other changes in lacrimal passages	icd10
H048	Other disorders of lacrimal system	icd10
H049	Disorder of lacrimal system, unspecified	icd10
H05	Disorders of orbit	icd10
H050	Acute inflammation of orbit	icd10
H051	Chronic inflammatory disorders of orbit	icd10
H052	Exophthalmic conditions	icd10
H053	Deformity of orbit	icd10
H054	Enophthalmos	icd10
H055	Retained (old) foreign body following penetrating wound of orbit	icd10
H058	Other disorders of orbit	icd10
H059	Disorder of orbit, unspecified	icd10
